gca_id	sample_id	taxon_id	taxon_name	total-length	ungapped-length	n50	spanned-gaps	unspanned-gaps	scaffold-count	count-contig	contig-n50	contig-L50	contig-n75	contig-n90	scaf-L50	scaf-n75	scaf-n90	replicon-count	count-non-chromosome-replicon	count-alt-loci-units	count-regions	count-patches	ENA-LAST-UPDATED
GCA_003676055.1	SAMN09689584	44316	Erythrura gouldiae	1070785140	1048326600	17126938	21233	0	18372	39605	137954	2090	58038	17824	15	4051072	464263	0	0	0	0	0	2018-10-23
GCA_003692655.1	SAMN09657529	333673	Hirundo rustica rustica	1213743879	1173760729	25954216	971	0	364	1335	6124600	52	1619218	363863	12	9438414	2002624	0	0	0	0	0	2018-10-29
GCA_003697955.1	SAMN09355691	425635	Calidris pygmaea	1178367144	1170106437	3136279	14517	0	29819	44336	189165	1695	89698	32614	101	1228580	377227	1	1	0	0	0	2018-10-30
GCA_003713215.1	SAMN10096786	39963	Paradisaea rubra	1071261504	1052190797	3264865	10172	0	4376	14548	415330	686	190641	66893	91	1499511	510909	0	0	0	0	0	2018-11-06
GCA_003713265.1	SAMN10096787	36268	Paradisaea raggiana	1037508133	1030293204	882045	29835	0	6544	36379	96622	2969	45833	20109	318	380701	140555	0	0	0	0	0	2018-11-06
GCA_003713285.1	SAMN10096783	28716	Diphyllodes magnificus	1065979660	1045993748	6488714	15822	0	3098	18920	241639	1163	105238	37524	49	2605495	927599	0	0	0	0	0	2018-11-06
GCA_003713295.1	SAMN10096785	39961	Parotia lawesii	1056922331	1048103366	3066654	9073	0	3976	13049	432029	662	190833	74922	91	1394969	544874	0	0	0	0	0	2018-11-06
GCA_003713305.1	SAMN10096784	36263	Cicinnurus regius	1059540104	1048002514	3187586	10017	0	4390	14407	465502	613	185378	64028	86	1398335	513506	0	0	0	0	0	2018-11-06
GCA_003829775.1	SAMN10120167	40217	Junco hyemalis	958315288	926976521	71317294	44180	0	4457	48637	80164	3083	32513	11409	5	20860279	11924826	0	0	0	0	0	2018-11-26
GCA_003850225.1	SAMN10245527	8839	Anas platyrhynchos	1126159488	1123243663	76129154	71703	0	2149	73852	36811	8050	16890	7612	5	22092175	10039220	30	0	0	0	0	2018-11-29
GCA_003945595.1	SAMN08774045	649802	Pipra filicauda	1110963465	1110924512	1695450	99	0	3744	3843	1585402	201	749837	257907	189	770050	276361	0	0	0	0	0	2018-12-14
GCA_003945725.1	SAMN10424454	415028	Corapipo altera	1095745976	1087378626	12385833	13527	0	9068	22595	262501	1171	114571	41210	24	5316737	1382162	0	0	0	0	0	2019-01-03
GCA_003947215.1	SAMN10023852	241587	Amazona collaria	1258720284	1231620060	13267695	11976	0	10638	22614	208912	1647	101393	41088	23	4970386	1539615	0	0	0	0	0	2018-12-15
GCA_003957525.1	SAMN02981239	59729	Taeniopygia guttata	965644423	965508058	3004452	45	0	5336	5381	3004452	76	825491	43550	76	844703	44112	0	0	0	0	0	2018-12-20
GCA_003957555.2	SAMN02265252	9244	Calypte anna	1059706240	1043609464	74081004	425	0	160	585	14522327	21	4548147	1244659	4	23291945	15116875	34	1	0	0	0	2019-05-17
GCA_003957565.2	SAMN02981239	59729	Taeniopygia guttata	1058012133	1055677902	70430603	309	0	135	444	11998827	22	4938192	1805279	6	22017011	11044519	34	1	0	0	0	2019-08-01
GCA_003957575.1	SAMN02265252	9244	Calypte anna	952083371	952080373	1463522	6	0	3803	3809	1463522	168	585211	150596	168	585211	150596	0	0	0	0	0	2018-12-20
GCA_003984885.2	SAMN08784363	114329	Neopelma chrysocephalum	2285399574	2262833114	10471880	30746	0	84121	114867	237432	2609	103116	29371	52	3075343	739145	0	0	0	0	0	2019-01-07
GCA_003993805.1	SAMN10386166	507594	Himantopus himantopus leucocephalus	1116806074	1105316013	99457149	47226	0	1442	48668	36551	8417	19009	10556	4	33015663	14219872	0	0	0	0	0	2019-01-04
GCA_004011185.1	SAMN09948751	2489341	Strigops habroptila	285706558	285701093	153928	11	0	3728	3739	153928	460	56253	27624	460	56464	27734	0	0	0	0	0	2019-05-17
GCA_004023745.1	SAMN10518521	171275	Recurvirostra avosetta	1193282475	1183858900	96778	230196	0	35873	266069	10462	31996	5244	2484	3255	43320	18667	0	0	0	0	0	2019-01-16
GCA_004027225.1	SAMN09948751	2489341	Strigops habroptila	1165639803	1138071315	83147210	356	0	100	456	9454100	40	5132710	2190569	6	43987489	18881121	27	1	0	0	0	2019-08-01
GCA_004143745.1	SAMN08888240	9054	Phasianus colchicus	1017507340	1009569497	10682894	18692	0	39677	58369	197843	1390	95960	39363	27	4709314	970291	0	0	0	0	0	2019-02-07
GCA_004320125.1	SAMD00156786	1381582	Scolopax mira	1091292641	1086961321	124759	38603	0	40750	79353	61187	4687	26577	9882	2305	55935	22140	0	0	0	0	0	2019-03-01
GCA_004320145.1	SAMD00156791	211598	Accipiter nisus	1190649881	1183795142	91241	60386	0	44975	105361	35336	8986	16751	7367	3562	43023	18480	0	0	0	0	0	2019-03-01
GCA_004320165.1	SAMD00156787	1517798	Dendrocopos noguchii	1134561427	1132434733	20195	24294	0	154720	179014	18451	15032	7082	2702	13809	7760	2992	0	0	0	0	0	2019-03-01
GCA_004320185.1	SAMD00156790	8969	Haliaeetus albicilla	1196539455	1192466393	120761	40024	0	35313	75337	53802	6146	25800	10954	2640	54280	22074	0	0	0	0	0	2019-03-01
GCA_004320205.1	SAMD00156785	1604048	Lagopus muta japonica	1002559668	1001411873	63289	9500	0	62806	72306	56225	4968	26149	10059	4428	29282	11314	0	0	0	0	0	2019-03-01
GCA_004320225.1	SAMD00160568	1564486	Bubo blakistoni	1193862756	1190991086	85182	17944	0	46772	64716	65049	4936	30073	12577	3810	38948	16514	0	0	0	0	0	2019-03-01
GCA_004360235.1	SAMN11096029	40817	Grus nigricollis	1230910289	1230853664	17886166	6	0	1812	1818	17886166	22	5710189	1516334	22	5710189	1516334	0	0	0	0	0	2019-03-22
GCA_005519975.1	SAMN07739105	9049	Pavo cristatus	1027510962	1023684802	190304	4907	0	179332	184239	103131	2360	25943	3411	1294	35233	3595	0	0	0	0	0	2019-05-20
GCA_005870125.1	SAMN11521339	299123	Lonchura striata domestica	1060269806	1029018290	71975342	31356	0	2015	33371	100423	2867	47476	18377	6	21238631	11552688	32	1	0	0	0	2019-06-05
GCA_005890655.1	SAMN11266852	211967	Centrocercus minimus	1000043310	1000038982	3849570	48	0	985	1033	3500535	87	1987948	1008043	81	2122777	1047023	1	1	0	0	0	2019-07-09
GCA_006229135.1	SAMN11890447	8846	Anser indicus	1143091872	1114489862	10094206	20358	0	10527	30885	120377	2510	54610	23153	35	4431100	1267474	0	0	0	0	0	2019-06-11
GCA_006937325.1	SAMN08482543	8811	Anomalopteryx didiformis	1190759065	892295867	3350051	1732578	0	1909	1734487	824	321576	442	232	111	1657812	783432	0	0	0	0	0	2019-07-12
GCA_006938045.1	SAMN08482543	8811	Anomalopteryx didiformis	1189933016	873072302	3349349	1816071	0	1843	1817914	774	335880	417	219	111	1657693	782048	0	0	0	0	0	2019-07-12
GCA_007115625.1	SAMN12017177	9135	Serinus canaria	1071655236	1052269486	79047965	40662	0	3536	44198	90869	3125	36358	12960	5	36017390	20574983	1	1	0	0	0	2019-07-29
GCA_007252995.1	SAMN11339519	364589	Zosterops borbonicus	1213662640	1109617200	1810786	114273	0	27683	141956	20903	15610	10803	5026	172	608282	139916	0	0	0	0	0	2019-07-23
GCA_007556475.1	SAMN11339534	43580	Zosterops pallidus	1149599252	1096864439	379821	59459	0	63344	122803	26333	12116	13303	6014	767	138895	32386	0	0	0	0	0	2019-07-26
GCA_007636935.1	SAMN12236919	72873	Tachycineta bicolor	1135351544	1072059081	34257	39528	0	92151	131679	16265	15731	6926	3394	4904	11353	4552	0	0	0	0	0	2019-07-30
GCA_900067835.1	SAMEA3166399	59894	Ficedula albicollis	6991858	6895202	5639	420	0	1807	2227	4718	423	2446	1442	276	2655	1562	0	0	0	0	0	2016-03-12
GCA_900205225.1	SAMEA94256668	1187130	Saxicola maurus maurus	1020367763	977867713	10035936	34417	0	2819	37236	96283	2793	41528	14890	24	3724092	989435	0	0	0	0	0	2017-10-06
GCA_900496995.2	SAMEA994725	223781	Aquila chrysaetos chrysaetos	1203454851	1198815044	46934974	191	0	142	333	21924221	19	11910625	6759292	9	30976502	24756580	27	0	0	0	0	2019-07-12
GCA_900560995.1	SAMEA4890637	474924	Seicercus examinandus	16884	16884		0	0	1	1								1	1		0		2019-02-06
GCA_900561015.1	SAMEA4890638	474924	Seicercus examinandus	16884	16884		0	0	1	1								1	1		0		2019-02-06
GCA_901699155.1	SAMEA994735	177155	Streptopelia turtur	1178928410	1175052061	80150727	889	0	357	1246	3790373	87	1661000	478082	4	27101090	10837557	31	0	0	0	0	2019-06-12
GCA_901699165.1	SAMEA994735	177155	Streptopelia turtur	1035214426	1035214426	776317	0	0	3333	3333	776317	369	330868	125979	369	330868	125979	0	0	0	0	0	2019-06-12
GCA_902153765.1	SAMEA994725	223781	Aquila chrysaetos chrysaetos	823060160	822498650	659735	39	0	3860	3899	640223	364	287921	76629	341	290643	76829	0	0	0	0	0	2019-07-12
